Descrição,Data,Quantidade,PdCusto,PdVenda,Tecido,Estacao
Blusa Primavera Chiffon,2015-10,2,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2015-10,4,24,48,Viscose,Primavera
Cropped Primavera Linho,2015-10,1,12,24,Linho,Primavera
Saia Primavera Seda,2015-10,2,14,28,Seda,Primavera
Short Primavera Algodão,2015-10,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2015-10,1,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2015-10,4,30,60,Chiffon,Primavera
Calça Verão Tactel,2015-11,2,20,40,Tactel,Verão
Calça Verão Cetim,2015-11,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2015-11,4,15,30,Jeans,Verão
Blusa Verão Seda,2015-11,1,18,36,Seda,Verão
Camisa Verão Algodão,2015-11,2,22,44,Algodão,Verão
Cropped Verão Algodão,2015-11,3,10,20,Algodão,Verão
Saia Verão Viscose,2015-11,4,12,24,Viscose,Verão
Short Verão Jeans,2015-11,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2015-11,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2015-11,2,30,60,Cetim,Verão
Calça Verão Tactel,2015-12,1,20,40,Tactel,Verão
Calça Verão Cetim,2015-12,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2015-12,3,15,30,Jeans,Verão
Blusa Verão Seda,2015-12,2,18,36,Seda,Verão
Camisa Verão Algodão,2015-12,4,22,44,Algodão,Verão
Cropped Verão Algodão,2015-12,3,10,20,Algodão,Verão
Saia Verão Viscose,2015-12,4,12,24,Viscose,Verão
Short Verão Jeans,2015-12,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2015-12,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2015-12,1,30,60,Cetim,Verão
Calça Verão Tactel,2016-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2016-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2016-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2016-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2016-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2016-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2016-01,4,12,24,Viscose,Verão
Short Verão Jeans,2016-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2016-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2016-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2016-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2016-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2016-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2016-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2016-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2016-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2016-02,4,12,24,Viscose,Verão
Short Verão Jeans,2016-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2016-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2016-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2016-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2016-03,3,20,40,Algodão,Outono
Bermuda Outono Jeans,2016-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2016-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2016-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2016-03,1,12,24,Viscose,Outono
Saia Outono Couro,2016-03,3,14,28,Couro,Outono
Short Outono Sarja,2016-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2016-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2016-03,1,28,56,Lã,Outono
Calça Outono Sarja,2016-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2016-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2016-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2016-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2016-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2016-04,2,12,24,Viscose,Outono
Saia Outono Couro,2016-04,4,14,28,Couro,Outono
Short Outono Sarja,2016-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2016-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2016-04,3,28,56,Lã,Outono
Calça Inverno Lã,2016-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2016-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2016-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2016-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2016-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2016-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2016-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2016-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2016-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2016-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2016-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2016-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2016-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2016-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2016-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2016-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2016-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2016-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2016-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2016-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2016-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2016-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2016-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2016-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2016-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2016-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2016-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2016-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2016-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2016-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2016-08,2,20,40,Viscose,Primavera
